season,episode_number,title,airdate,rating,total_votes,desc
1,1,Fortune Is Unpredictable and Mutable,4/7/2016,7.5,201,"Driven out from his orphanage, Nakajima Atsushi wanders the streets of Yokohama on the bring of starvation. Determined to live, a chance encounter with a drowning stranger changes his fate."
1,2,A Certain Bomb,4/14/2016,7.4,169,"Despite joining the Armed Detective Agency, Nakajima lacks convection that he'd be of any use. Just as he's about to bid the agency farewell, a bomber takes over the agency with one of the agency employees as his hostage."
1,3,Yokohama Gangster Paradise,4/21/2016,7.5,162,"Now an official member of the Agency after passing their entrance exam, Atsushi is assigned to his first case right away with Tanizaki and Naomi. Though deceptively simple on the surface, there's more than meets the eye."
1,4,The Tragedy of the Fatalist,4/28/2016,7.3,154,"Though saved from the Port Mafia by Dazai's intervention, Atsushi feels responsible for bringing trouble to the Agency's door. Rather than risk another attack because of him, Atsushi decides to leave the Agency."
1,5,Murder on D Street,5/5/2016,7.9,158,"After repelling the Port Mafia's Black Lizards with deceptive ease, Atsushi is tasked with assisting Rampo on a case. Skeptical of the self-dubbed great detective who seems to lack all common sense, Atsushi is about to witness Rampo's ability first-hand."
1,6,The Azure Messenger,5/12/2016,7.4,145,"The Agency investigates a series of disappearances in Yokohama. Kunikida enlists the help of a hacker named Taguchi Rokuzou, but all they find are photos of the victims and mentions of a mysterious figure called the Azure Messenger."
1,7,Love for the Disease Called Ideals,5/19/2016,7.8,148,"Following the Azure Messenger's bomb threat, the Armed Detective Agency must race to prevent the deaths of hundreds. However, Dazai's seemingly distracted by Sasaki Nobuko, the lone survivor of their raid on the abandoned hospital."
1,8,"Teaching Them to Kill, Then to Die",5/26/2016,8.0,153,"Dazai goes missing, but the Agency operatives feel it's just business as usual. Meanwhile, Atsushi accompanies Yosano Akiko on a shopping expedition, where they are suddenly plunged into the middle of a terrorist bomb threat!"
1,9,The Beauty Is Quiet Like a Stone Statue,6/2/2016,7.9,145,"Kyouka was made into an assassin by those who abused her ability, and Atsushi can't help but feel sympathy toward her. Unable to turn her in to the military police, Atsushi ends up taking her out on a date. Meanwhile, Akutagawa is busy berating his former supervisor--Dazai"
1,10,Rashomon and the Tiger,6/9/2016,8.2,158,"Dazai has a face-off with his ex-partner, Chuuya, as Chuuya attempts to discover why Dazai let himself get captured. Meanwhile, Atsuhi faces Akutagawa's intense and inexplicable hatred for him."
